datetime,open,high,low,close,volume
2026-07-23 04:45:00,23957.35,23978.85,23943.8,23974.4,0
2026-07-23 05:15:00,23974.95,23990.7,23966.15,23972.4,0
2026-07-23 05:45:00,23972.1,23973.8,23939.95,23947.75,0
2026-07-23 06:15:00,23947.6,23964.3,23930.65,23934.1,0
2026-07-23 06:45:00,23934.85,23939.35,23855.15,23857.25,0
2026-07-23 07:15:00,23856.95,23864.45,23826.75,23832.0,0
2026-07-23 07:45:00,23831.95,23864.35,23812.0,23850.3,0
2026-07-23 08:15:00,23850.8,23871.95,23849.9,23850.95,0
2026-07-23 08:45:00,23850.6,23891.25,23829.5,23835.75,0
2026-07-23 09:15:00,23835.75,23880.0,23807.35,23872.4,0
2026-07-23 09:45:00,23873.05,23889.9,23858.55,23872.2,0
2026-07-24 03:45:00,23674.4,23762.75,23650.3,23656.7,0
2026-07-24 04:15:00,23657.4,23664.75,23607.6,23608.7,0
2026-07-24 04:45:00,23608.3,23646.05,23606.45,23640.9,0
2026-07-24 05:15:00,23640.4,23652.25,23617.1,23624.25,0
2026-07-24 05:45:00,23624.25,23687.5,23622.6,23682.2,0
2026-07-24 06:15:00,23682.25,23717.9,23682.2,23702.85,0
2026-07-24 06:45:00,23702.45,23796.4,23701.35,23793.65,0
2026-07-24 07:15:00,23793.8,23808.55,23763.3,23783.85,0
2026-07-24 07:45:00,23783.75,23800.05,23736.0,23747.75,0
2026-07-24 08:15:00,23747.9,23823.6,23742.25,23797.4,0
2026-07-24 08:45:00,23797.5,23805.75,23760.2,23768.4,0
2026-07-24 09:15:00,23768.1,23794.15,23747.65,23771.9,0
2026-07-24 09:45:00,23771.45,23792.95,23767.45,23787.0,0
2026-07-27 03:45:00,23929.5,23963.2,23897.2,23951.05,0
2026-07-27 04:15:00,23952.1,23955.9,23909.0,23933.3,0
2026-07-27 04:45:00,23934.0,23935.75,23891.7,23925.3,0
2026-07-27 05:15:00,23927.25,23939.3,23907.8,23924.75,0
2026-07-27 05:45:00,23926.0,23971.75,23923.35,23963.55,0
2026-07-27 06:15:00,23966.05,23972.8,23945.6,23956.2,0
2026-07-27 06:45:00,23959.05,23967.3,23943.05,23951.2,0
2026-07-27 07:15:00,23952.55,23970.8,23943.75,23970.1,0
2026-07-27 07:45:00,23971.9,23979.15,23935.4,23956.25,0
2026-07-27 08:15:00,23958.25,23998.3,23953.25,23995.9,0
2026-07-27 08:45:00,23997.55,24011.1,23984.55,23996.25,0
2026-07-27 09:15:00,23997.65,24003.5,23984.1,23987.15,0
2026-07-27 09:45:00,23985.1,24008.1,23985.1,24003.65,0
2026-07-28 03:45:00,23971.25,24039.85,23969.25,24017.95,0
2026-07-28 04:15:00,24018.05,24019.9,23962.15,23986.25,0
2026-07-28 04:45:00,23985.6,24023.35,23984.8,24019.75,0
2026-07-28 05:15:00,24020.1,24041.0,24010.05,24014.6,0
2026-07-28 05:45:00,24015.2,24029.7,23999.95,24021.05,0
2026-07-28 06:15:00,24020.9,24036.8,24003.65,24026.5,0
2026-07-28 06:45:00,24026.25,24028.9,24009.4,24015.55,0
2026-07-28 07:15:00,24015.65,24022.0,23982.9,23983.1,0
2026-07-28 07:45:00,23983.05,23993.7,23968.65,23983.35,0
2026-07-28 08:15:00,23983.35,24011.75,23972.4,23993.7,0
2026-07-28 08:45:00,23993.35,24001.25,23970.1,23996.2,0
2026-07-28 09:15:00,23995.35,23995.45,23954.7,23969.4,0
2026-07-28 09:45:00,23969.4,24013.35,23968.7,23983.95,0
2026-07-29 03:45:00,24188.05,24217.65,24141.75,24212.2,0
2026-07-29 04:15:00,24211.85,24223.75,24184.95,24221.3,0
2026-07-29 04:45:00,24220.9,24238.35,24214.0,24233.8,0
2026-07-29 05:15:00,24233.7,24243.85,24213.4,24233.7,0
2026-07-29 05:45:00,24233.3,24241.35,24218.75,24232.25,0
2026-07-29 06:15:00,24232.5,24247.45,24219.8,24238.45,0
2026-07-29 06:45:00,24238.8,24240.4,24218.9,24220.8,0
2026-07-29 07:15:00,24221.45,24261.35,24209.95,24257.55,0
2026-07-29 07:45:00,24257.4,24259.9,24236.0,24238.4,0
2026-07-29 08:15:00,24236.2,24271.7,24235.65,24263.8,0
2026-07-29 08:45:00,24263.8,24279.0,24251.45,24259.6,0
2026-07-29 09:15:00,24259.65,24283.0,24249.7,24252.0,0
2026-07-29 09:45:00,24251.45,24251.9,24231.05,24242.0,0
2026-07-30 03:45:00,24250.4,24287.25,24190.0,24256.25,0
2026-07-30 04:15:00,24257.25,24285.55,24241.5,24243.5,0
2026-07-30 04:45:00,24243.75,24261.35,24224.85,24259.15,0
2026-07-30 05:15:00,24260.25,24270.65,24248.15,24265.05,0
2026-07-30 05:45:00,24264.9,24282.5,24262.1,24265.5,0
2026-07-30 06:15:00,24265.8,24266.7,24248.85,24254.1,0
2026-07-30 06:45:00,24253.95,24331.05,24249.0,24308.35,0
2026-07-30 07:15:00,24308.45,24309.55,24248.85,24264.0,0
2026-07-30 07:45:00,24264.05,24300.25,24259.1,24289.45,0
2026-07-30 08:15:00,24288.4,24299.45,24255.45,24255.7,0
2026-07-30 08:45:00,24255.2,24269.6,24227.25,24258.7,0
2026-07-30 09:15:00,24258.85,24329.55,24251.1,24318.25,0
2026-07-30 09:45:00,24316.9,24342.95,24292.75,24296.6,0
2026-07-31 03:45:00,24359.8,24377.55,24299.7,24349.3,0
2026-07-31 04:15:00,24348.9,24362.95,24333.65,24346.05,0
2026-07-31 04:45:00,24346.2,24361.05,24332.9,24353.55,0
2026-07-31 05:15:00,24353.0,24362.35,24334.15,24357.75,0
2026-07-31 05:45:00,24357.75,24374.95,24355.7,24364.7,0
2026-07-31 06:15:00,24364.6,24382.5,24358.35,24382.1,0
2026-07-31 06:45:00,24381.55,24404.45,24374.3,24401.75,0
2026-07-31 07:15:00,24402.0,24427.85,24400.05,24414.8,0
2026-07-31 07:45:00,24414.3,24429.4,24391.45,24395.2,0
